country,activeworkers,keystrokes ,mouseevents,dayoftheweek,hour
Argentina,0.1197435897,130.5734768993,58.4658139065,4,14
Argentina,0.126025641,145.4917646215,63.9812751061,4,15
Argentina,0.1242948718,151.5542153445,64.0116363192,4,16
Argentina,0.1107692308,153.6784670046,57.9675874339,4,17
Argentina,0.0818589744,152.3074999984,46.1435263881,4,18
Argentina,0.0583974359,162.5727408008,42.0671615226,4,19
Argentina,0.0465384615,157.5652473939,41.2498548424,4,20
Argentina,0.0352201258,137.7804845371,38.877203835,4,21
Argentina,0.0283647799,136.0364607676,34.5803665216,4,22
Argentina,0.0271794872,156.7245381237,35.9116772178,4,23
Argentina,0.0235220126,159.0708388785,34.7060742598,5,0
Argentina,0.016918239,166.7521382958,40.1312437163,5,1
Argentina,0.0121794872,160.9440212573,44.2895044264,5,2
Argentina,0.0083333333,182.7886056253,50.5083650213,5,3
Argentina,0.0073643411,150.0472372606,44.4691408721,5,4
Argentina,0.0071052632,91.6691020693,39.9816220987,5,5
Argentina,0.007,107.0375556972,34.7747181668,5,6
Argentina,0.0074637681,113.4386544871,36.7804501515,5,7
Argentina,0.01,108.1947222692,32.81165874,5,8
Argentina,0.0174358974,118.9013726141,32.7602208597,5,9
Argentina,0.0258490566,120.5019336631,31.1530587345,5,10
Argentina,0.032327044,134.3327786253,32.1206100987,5,11
Argentina,0.0331446541,155.6261669004,41.0991641662,5,12
Argentina,0.0300628931,124.573686189,38.6988482052,5,13
Argentina,0.0318238994,133.5462499705,35.4105133668,5,14
Argentina,0.0359119497,141.9572300171,39.2848052229,5,15
Argentina,0.0376100629,171.8330486749,42.2940546976,5,16
Argentina,0.0363522013,166.406005998,45.3400184255,5,17
Argentina,0.0349685535,158.9038962692,42.0258381174,5,18
Argentina,0.0325786164,161.5072812261,42.5011351223,5,19
Argentina,0.028427673,175.5478809323,44.2829829643,5,20
Argentina,0.0224528302,165.1619463377,41.9604644157,5,21
Argentina,0.0221568627,129.9476885338,32.9663190531,5,22
Argentina,0.0200641026,144.5999954894,40.2321080431,5,23
Argentina,0.0168553459,127.8707641995,37.0718690278,6,0
Argentina,0.0142307692,127.3483958769,39.1016302286,6,1
Argentina,0.0098666667,129.6350130623,41.4615086473,6,2
Argentina,0.0075510204,111.6037900558,39.8298424143,6,3
Argentina,0.0061538462,74.2422884012,47.6466092451,6,4
Argentina,0.0054385965,108.6839448007,32.8098010069,6,5
Argentina,0.0059259259,91.3794925342,33.4511172672,6,6
Argentina,0.0068468468,99.5588230939,21.6840308202,6,7
Argentina,0.0083703704,110.410850468,27.6044880631,6,8
Argentina,0.0117006803,116.976540903,24.4300141434,6,9
Argentina,0.0176923077,111.5983167388,25.4053865632,6,10
Argentina,0.0233333333,127.4440345301,29.4195529924,6,11
Argentina,0.0268627451,124.5376334212,34.7809773296,6,12
Argentina,0.0255769231,127.2330906393,35.8338367496,6,13
Argentina,0.0272435897,118.919131374,34.6685920666,6,14
