Country,Day,Hour,Workers
Belarus,0,11,60.9230769231
Belarus,0,12,72.5961538462
Belarus,0,13,80.6538461538
Belarus,0,14,83.7115384615
Belarus,0,15,83.5576923077
Belarus,0,16,83.0576923077
Belarus,0,17,83.0769230769
Belarus,0,18,82.5576923077
Belarus,0,19,85.5769230769
Belarus,0,20,86.0576923077
Belarus,0,21,86.6346153846
Belarus,0,22,82.4807692308
Belarus,0,23,68.7307692308
Belarus,1,0,55.3076923077
Belarus,1,1,39.3076923077
Belarus,1,2,25.5384615385
Belarus,1,3,19.2884615385
Belarus,1,4,16.5
Belarus,1,5,15.6153846154
Belarus,1,6,17.9807692308
Belarus,1,7,27.25
Belarus,1,8,64.6153846154
Belarus,1,9,119.9423076923
Belarus,1,10,169.9423076923
Belarus,1,11,207.2692307692
Belarus,1,12,223.4038461538
Belarus,1,13,234.2115384615
Belarus,1,14,246.6153846154
Belarus,1,15,251.9615384615
Belarus,1,16,247.2692307692
Belarus,1,17,224.2884615385
Belarus,1,18,195.6730769231
Belarus,1,19,169.5384615385
Belarus,1,20,153.0384615385
Belarus,1,21,137.1346153846
Belarus,1,22,111.1153846154
Belarus,1,23,89.75
Belarus,2,0,70.6730769231
Belarus,2,1,51.1153846154
Belarus,2,2,40.3269230769
Belarus,2,3,31.5769230769
Belarus,2,4,26.3269230769
Belarus,2,5,26.4615384615
Belarus,2,6,25.8653846154
Belarus,2,7,37.9423076923
Belarus,2,8,83.0576923077
Belarus,2,9,138.4807692308
Belarus,2,10,191.2692307692
Belarus,2,11,225.7115384615
Belarus,2,12,243.3653846154
Belarus,2,13,249.3269230769
Belarus,2,14,257.8269230769
Belarus,2,15,268.3653846154
Belarus,2,16,264.1153846154
Belarus,2,17,232.5961538462
Belarus,2,18,202.1346153846
Belarus,2,19,174.1730769231
Belarus,2,20,162.4615384615
Belarus,2,21,146.9615384615
Belarus,2,22,126.3461538462
Belarus,2,23,100
Belarus,3,0,73.1923076923
Belarus,3,1,52.5192307692
Belarus,3,2,44.4230769231
Belarus,3,3,35.5384615385
Belarus,3,4,30.4038461538
Belarus,3,5,29.9230769231
Belarus,3,6,31.9807692308
Belarus,3,7,43.75
Belarus,3,8,82.4423076923
Belarus,3,9,142.3269230769
Belarus,3,10,191.9230769231
Belarus,3,11,228.3846153846
Belarus,3,12,248.5384615385
Belarus,3,13,264.1153846154
Belarus,3,14,273.6538461538
Belarus,3,15,276.1923076923
Belarus,3,16,276.2115384615
Belarus,3,17,250.0192307692
Belarus,3,18,221.9615384615
Belarus,3,19,190.9423076923
Belarus,3,20,168.7884615385
Belarus,3,21,149.3076923077
Belarus,3,22,128.3461538462
Belarus,3,23,101.6923076923
Belarus,4,0,81.3269230769
Belarus,4,1,63.1923076923
Belarus,4,2,49.0576923077
Belarus,4,3,37.8653846154
Belarus,4,4,33.0384615385
Belarus,4,5,32.5384615385
Belarus,4,6,33.6538461538
Belarus,4,7,44.5
Belarus,4,8,86.8076923077
Belarus,4,9,142.5576923077
Belarus,4,10,192.1538461538
Belarus,4,11,232.8846153846
Belarus,4,12,249.3846153846
Belarus,4,13,260.9230769231
Belarus,4,14,273.3653846154
Belarus,4,15,278.7692307692
Belarus,4,16,279.7115384615
Belarus,4,17,247.0192307692
Belarus,4,18,215.25
Belarus,4,19,189.0192307692
Belarus,4,20,170.5
Belarus,4,21,148.9807692308
Belarus,4,22,124.2115384615
Belarus,4,23,102.8461538462
Belarus,5,0,77.6538461538
Belarus,5,1,58.6538461538
Belarus,5,2,46.5961538462
Belarus,5,3,35.9038461538
Belarus,5,4,29
Belarus,5,5,27.6923076923
Belarus,5,6,29.2692307692
Belarus,5,7,41.3846153846
Belarus,5,8,79.25
Belarus,5,9,135.1153846154
Belarus,5,10,184.9230769231
Belarus,5,11,223.5384615385
